mpg,cylinders,displacement,horsepower,weight,acceleration,year,name,L/100km,weight_normalized,displacement_normalized,horsepower_normalized,horsepower_binned,origin_Europe,origin_Japan,origin_USA
25.0,4,113.0,95.0,2228,14.0,71,toyota corona,9.4,0.43346303501945527,0.24835164835164836,0.41304347826086957,Low,0,1,0
25.0,4,98.0,104.46938775510205,2046,19.0,71,ford pinto,9.4,0.3980544747081712,0.2153846153846154,0.4542147293700089,Low,0,0,1
19.0,6,232.0,100.0,2634,13.0,71,amc gremlin,12.368421052631579,0.5124513618677042,0.5098901098901099,0.43478260869565216,Low,0,0,1
16.0,6,225.0,105.0,3439,15.5,71,plymouth satellite custom,14.6875,0.6690661478599221,0.4945054945054945,0.45652173913043476,Low,0,0,1
17.0,6,250.0,100.0,3329,15.5,71,chevrolet chevelle malibu,13.823529411764707,0.6476653696498055,0.5494505494505495,0.43478260869565216,Low,0,0,1
19.0,6,250.0,88.0,3302,15.5,71,ford torino 500,12.368421052631579,0.6424124513618678,0.5494505494505495,0.3826086956521739,Low,0,0,1
18.0,6,232.0,100.0,3288,15.5,71,amc matador,13.055555555555555,0.6396887159533073,0.5098901098901099,0.43478260869565216,Low,0,0,1
14.0,8,350.0,165.0,4209,12.0,71,chevrolet impala,16.785714285714285,0.8188715953307393,0.7692307692307693,0.717391304347826,Medium,0,0,1
14.0,8,400.0,175.0,4464,11.5,71,pontiac catalina brougham,16.785714285714285,0.8684824902723736,0.8791208791208791,0.7608695652173914,High,0,0,1
14.0,8,351.0,153.0,4154,13.5,71,ford galaxie 500,16.785714285714285,0.808171206225681,0.7714285714285715,0.6652173913043479,Medium,0,0,1
14.0,8,318.0,150.0,4096,13.0,71,plymouth fury iii,16.785714285714285,0.796887159533074,0.6989010989010989,0.6521739130434783,Medium,0,0,1
12.0,8,383.0,180.0,4955,11.5,71,dodge monaco (sw),19.583333333333332,0.9640077821011673,0.8417582417582418,0.782608695652174,High,0,0,1
13.0,8,400.0,170.0,4746,12.0,71,ford country squire (sw),18.076923076923077,0.9233463035019456,0.8791208791208791,0.7391304347826086,High,0,0,1
13.0,8,400.0,175.0,5140,12.0,71,pontiac safari (sw),18.076923076923077,1.0,0.8791208791208791,0.7608695652173914,High,0,0,1
18.0,6,258.0,110.0,2962,13.5,71,amc hornet sportabout (sw),13.055555555555555,0.5762645914396887,0.567032967032967,0.4782608695652174,Medium,0,0,1
22.0,4,140.0,72.0,2408,19.0,71,chevrolet vega (sw),10.681818181818182,0.46848249027237354,0.3076923076923077,0.3130434782608696,Low,0,0,1
19.0,6,250.0,100.0,3282,15.0,71,pontiac firebird,12.368421052631579,0.6385214007782101,0.5494505494505495,0.43478260869565216,Low,0,0,1
18.0,6,250.0,88.0,3139,14.5,71,ford mustang,13.055555555555555,0.6107003891050584,0.5494505494505495,0.3826086956521739,Low,0,0,1
23.0,4,122.0,86.0,2220,14.0,71,mercury capri 2000,10.217391304347826,0.43190661478599224,0.2681318681318681,0.3739130434782609,Low,0,0,1
28.0,4,116.0,90.0,2123,14.0,71,opel 1900,8.392857142857142,0.4130350194552529,0.2549450549450549,0.391304347826087,Low,1,0,0
30.0,4,79.0,70.0,2074,19.5,71,peugeot 304,7.833333333333333,0.40350194552529184,0.17362637362637362,0.30434782608695654,Low,1,0,0
30.0,4,88.0,76.0,2065,14.5,71,fiat 124b,7.833333333333333,0.40175097276264593,0.1934065934065934,0.33043478260869563,Low,1,0,0
31.0,4,71.0,65.0,1773,19.0,71,toyota corolla 1200,7.580645161290323,0.34494163424124513,0.15604395604395604,0.2826086956521739,Low,0,1,0
35.0,4,72.0,69.0,1613,18.0,71,datsun 1200,6.714285714285714,0.31381322957198443,0.15824175824175823,0.3,Low,0,1,0
27.0,4,97.0,60.0,1834,19.0,71,volkswagen model 111,8.703703703703704,0.3568093385214008,0.21318681318681318,0.2608695652173913,Low,1,0,0
26.0,4,91.0,70.0,1955,20.5,71,plymouth cricket,9.038461538461538,0.38035019455252916,0.2,0.30434782608695654,Low,0,0,1
24.0,4,113.0,95.0,2278,15.5,72,toyota corona hardtop,9.791666666666666,0.4431906614785992,0.24835164835164836,0.41304347826086957,Low,0,1,0
25.0,4,97.5,80.0,2126,17.0,72,dodge colt hardtop,9.4,0.41361867704280153,0.21428571428571427,0.34782608695652173,Low,0,0,1
23.0,4,97.0,54.0,2254,23.5,72,volkswagen type 3,10.217391304347826,0.4385214007782101,0.21318681318681318,0.23478260869565218,Low,1,0,0
20.0,4,140.0,90.0,2408,19.5,72,chevrolet vega,11.75,0.46848249027237354,0.3076923076923077,0.391304347826087,Low,0,0,1
21.0,4,122.0,86.0,2226,16.5,72,ford pinto runabout,11.19047619047619,0.4330739299610895,0.2681318681318681,0.3739130434782609,Low,0,0,1
13.0,8,350.0,165.0,4274,12.0,72,chevrolet impala,18.076923076923077,0.8315175097276265,0.7692307692307693,0.717391304347826,Medium,0,0,1
14.0,8,400.0,175.0,4385,12.0,72,pontiac catalina,16.785714285714285,0.853112840466926,0.8791208791208791,0.7608695652173914,High,0,0,1
15.0,8,318.0,150.0,4135,13.5,72,plymouth fury iii,15.666666666666666,0.8044747081712063,0.6989010989010989,0.6521739130434783,Medium,0,0,1
14.0,8,351.0,153.0,4129,13.0,72,ford galaxie 500,16.785714285714285,0.803307392996109,0.7714285714285715,0.6652173913043479,Medium,0,0,1
17.0,8,304.0,150.0,3672,11.5,72,amc ambassador sst,13.823529411764707,0.7143968871595331,0.6681318681318681,0.6521739130434783,Medium,0,0,1
11.0,8,429.0,208.0,4633,11.0,72,mercury marquis,21.363636363636363,0.9013618677042802,0.9428571428571428,0.9043478260869565,High,0,0,1
13.0,8,350.0,155.0,4502,13.5,72,buick lesabre custom,18.076923076923077,0.875875486381323,0.7692307692307693,0.6739130434782609,Medium,0,0,1
12.0,8,350.0,160.0,4456,13.5,72,oldsmobile delta 88 royale,19.583333333333332,0.8669260700389105,0.7692307692307693,0.6956521739130435,Medium,0,0,1
13.0,8,400.0,190.0,4422,12.5,72,chrysler newport royal,18.076923076923077,0.8603112840466927,0.8791208791208791,0.8260869565217391,High,0,0,1
19.0,3,70.0,97.0,2330,13.5,72,mazda rx2 coupe,12.368421052631579,0.45330739299610895,0.15384615384615385,0.4217391304347826,Low,0,1,0
15.0,8,304.0,150.0,3892,12.5,72,amc matador (sw),15.666666666666666,0.7571984435797665,0.6681318681318681,0.6521739130434783,Medium,0,0,1
13.0,8,307.0,130.0,4098,14.0,72,chevrolet chevelle concours (sw),18.076923076923077,0.7972762645914397,0.6747252747252748,0.5652173913043478,Medium,0,0,1
13.0,8,302.0,140.0,4294,16.0,72,ford gran torino (sw),18.076923076923077,0.8354085603112841,0.6637362637362637,0.6086956521739131,Medium,0,0,1
14.0,8,318.0,150.0,4077,14.0,72,plymouth satellite custom (sw),16.785714285714285,0.7931906614785992,0.6989010989010989,0.6521739130434783,Medium,0,0,1
18.0,4,121.0,112.0,2933,14.5,72,volvo 145e (sw),13.055555555555555,0.5706225680933852,0.26593406593406593,0.48695652173913045,Medium,1,0,0
22.0,4,121.0,76.0,2511,18.0,72,volkswagen 411 (sw),10.681818181818182,0.4885214007782101,0.26593406593406593,0.33043478260869563,Low,1,0,0
21.0,4,120.0,87.0,2979,19.5,72,peugeot 504 (sw),11.19047619047619,0.5795719844357977,0.26373626373626374,0.3782608695652174,Low,1,0,0
26.0,4,96.0,69.0,2189,18.0,72,renault 12 (sw),9.038461538461538,0.42587548638132294,0.210989010989011,0.3,Low,1,0,0
22.0,4,122.0,86.0,2395,16.0,72,ford pinto (sw),10.681818181818182,0.4659533073929961,0.2681318681318681,0.3739130434782609,Low,0,0,1
28.0,4,97.0,92.0,2288,17.0,72,datsun 510 (sw),8.392857142857142,0.445136186770428,0.21318681318681318,0.4,Low,0,1,0
23.0,4,120.0,97.0,2506,14.5,72,toyouta corona mark ii (sw),10.217391304347826,0.4875486381322957,0.26373626373626374,0.4217391304347826,Low,0,1,0
28.0,4,98.0,80.0,2164,15.0,72,dodge colt (sw),8.392857142857142,0.421011673151751,0.2153846153846154,0.34782608695652173,Low,0,0,1
27.0,4,97.0,88.0,2100,16.5,72,toyota corolla 1600 (sw),8.703703703703704,0.4085603112840467,0.21318681318681318,0.3826086956521739,Low,0,1,0
13.0,8,350.0,175.0,4100,13.0,73,buick century 350,18.076923076923077,0.7976653696498055,0.7692307692307693,0.7608695652173914,High,0,0,1
14.0,8,304.0,150.0,3672,11.5,73,amc matador,16.785714285714285,0.7143968871595331,0.6681318681318681,0.6521739130434783,Medium,0,0,1
13.0,8,350.0,145.0,3988,13.0,73,chevrolet malibu,18.076923076923077,0.775875486381323,0.7692307692307693,0.6304347826086957,Medium,0,0,1
14.0,8,302.0,137.0,4042,14.5,73,ford gran torino,16.785714285714285,0.7863813229571984,0.6637362637362637,0.5956521739130435,Medium,0,0,1
15.0,8,318.0,150.0,3777,12.5,73,dodge coronet custom,15.666666666666666,0.7348249027237355,0.6989010989010989,0.6521739130434783,Medium,0,0,1
12.0,8,429.0,198.0,4952,11.5,73,mercury marquis brougham,19.583333333333332,0.9634241245136187,0.9428571428571428,0.8608695652173913,High,0,0,1
13.0,8,400.0,150.0,4464,12.0,73,chevrolet caprice classic,18.076923076923077,0.8684824902723736,0.8791208791208791,0.6521739130434783,Medium,0,0,1
13.0,8,351.0,158.0,4363,13.0,73,ford ltd,18.076923076923077,0.8488326848249027,0.7714285714285715,0.6869565217391305,Medium,0,0,1
14.0,8,318.0,150.0,4237,14.5,73,plymouth fury gran sedan,16.785714285714285,0.8243190661478599,0.6989010989010989,0.6521739130434783,Medium,0,0,1
13.0,8,440.0,215.0,4735,11.0,73,chrysler new yorker brougham,18.076923076923077,0.9212062256809338,0.967032967032967,0.9347826086956522,High,0,0,1
12.0,8,455.0,225.0,4951,11.0,73,buick electra 225 custom,19.583333333333332,0.9632295719844358,1.0,0.9782608695652174,High,0,0,1
13.0,8,360.0,175.0,3821,11.0,73,amc ambassador brougham,18.076923076923077,0.7433852140077821,0.7912087912087912,0.7608695652173914,High,0,0,1
18.0,6,225.0,105.0,3121,16.5,73,plymouth valiant,13.055555555555555,0.6071984435797665,0.4945054945054945,0.45652173913043476,Low,0,0,1
16.0,6,250.0,100.0,3278,18.0,73,chevrolet nova custom,14.6875,0.6377431906614786,0.5494505494505495,0.43478260869565216,Low,0,0,1
18.0,6,232.0,100.0,2945,16.0,73,amc hornet,13.055555555555555,0.5729571984435797,0.5098901098901099,0.43478260869565216,Low,0,0,1
18.0,6,250.0,88.0,3021,16.5,73,ford maverick,13.055555555555555,0.5877431906614786,0.5494505494505495,0.3826086956521739,Low,0,0,1
23.0,6,198.0,95.0,2904,16.0,73,plymouth duster,10.217391304347826,0.5649805447470817,0.4351648351648352,0.41304347826086957,Low,0,0,1
26.0,4,97.0,46.0,1950,21.0,73,volkswagen super beetle,9.038461538461538,0.37937743190661477,0.21318681318681318,0.2,Low,1,0,0
11.0,8,400.0,150.0,4997,14.0,73,chevrolet impala,21.363636363636363,0.9721789883268482,0.8791208791208791,0.6521739130434783,Medium,0,0,1
12.0,8,400.0,167.0,4906,12.5,73,ford country,19.583333333333332,0.9544747081712063,0.8791208791208791,0.7260869565217392,Medium,0,0,1
13.0,8,360.0,170.0,4654,13.0,73,plymouth custom suburb,18.076923076923077,0.9054474708171206,0.7912087912087912,0.7391304347826086,High,0,0,1
12.0,8,350.0,180.0,4499,12.5,73,oldsmobile vista cruiser,19.583333333333332,0.8752918287937743,0.7692307692307693,0.782608695652174,High,0,0,1
18.0,6,232.0,100.0,2789,15.0,73,amc gremlin,13.055555555555555,0.5426070038910505,0.5098901098901099,0.43478260869565216,Low,0,0,1
20.0,4,97.0,88.0,2279,19.0,73,toyota carina,11.75,0.4433852140077821,0.21318681318681318,0.3826086956521739,Low,0,1,0
21.0,4,140.0,72.0,2401,19.5,73,chevrolet vega,11.19047619047619,0.4671206225680934,0.3076923076923077,0.3130434782608696,Low,0,0,1
22.0,4,108.0,94.0,2379,16.5,73,datsun 610,10.681818181818182,0.46284046692607006,0.23736263736263735,0.40869565217391307,Low,0,1,0
18.0,3,70.0,90.0,2124,13.5,73,maxda rx3,13.055555555555555,0.4132295719844358,0.15384615384615385,0.391304347826087,Low,0,1,0
19.0,4,122.0,85.0,2310,18.5,73,ford pinto,12.368421052631579,0.4494163424124514,0.2681318681318681,0.3695652173913043,Low,0,0,1
21.0,6,155.0,107.0,2472,14.0,73,mercury capri v6,11.19047619047619,0.48093385214007783,0.34065934065934067,0.4652173913043478,Low,0,0,1
26.0,4,98.0,90.0,2265,15.5,73,fiat 124 sport coupe,9.038461538461538,0.4406614785992218,0.2153846153846154,0.391304347826087,Low,1,0,0
15.0,8,350.0,145.0,4082,13.0,73,chevrolet monte carlo s,15.666666666666666,0.7941634241245136,0.7692307692307693,0.6304347826086957,Medium,0,0,1
16.0,8,400.0,230.0,4278,9.5,73,pontiac grand prix,14.6875,0.832295719844358,0.8791208791208791,1.0,High,0,0,1
29.0,4,68.0,49.0,1867,19.5,73,fiat 128,8.10344827586207,0.3632295719844358,0.14945054945054945,0.21304347826086956,Low,1,0,0
24.0,4,116.0,75.0,2158,15.5,73,opel manta,9.791666666666666,0.4198443579766537,0.2549450549450549,0.32608695652173914,Low,1,0,0
20.0,4,114.0,91.0,2582,14.0,73,audi 100ls,11.75,0.5023346303501945,0.25054945054945055,0.39565217391304347,Low,1,0,0
19.0,4,121.0,112.0,2868,15.5,73,volvo 144ea,12.368421052631579,0.5579766536964981,0.26593406593406593,0.48695652173913045,Medium,1,0,0
15.0,8,318.0,150.0,3399,11.0,73,dodge dart custom,15.666666666666666,0.661284046692607,0.6989010989010989,0.6521739130434783,Medium,0,0,1
24.0,4,121.0,110.0,2660,14.0,73,saab 99le,9.791666666666666,0.5175097276264592,0.26593406593406593,0.4782608695652174,Medium,1,0,0
20.0,6,156.0,122.0,2807,13.5,73,toyota mark ii,11.75,0.5461089494163424,0.34285714285714286,0.5304347826086957,Medium,0,1,0
11.0,8,350.0,180.0,3664,11.0,73,oldsmobile omega,21.363636363636363,0.7128404669260701,0.7692307692307693,0.782608695652174,High,0,0,1
20.0,6,198.0,95.0,3102,16.5,74,plymouth duster,11.75,0.6035019455252918,0.4351648351648352,0.41304347826086957,Low,0,0,1
21.0,6,200.0,104.46938775510205,2875,17.0,74,ford maverick,11.19047619047619,0.5593385214007782,0.43956043956043955,0.4542147293700089,Low,0,0,1
19.0,6,232.0,100.0,2901,16.0,74,amc hornet,12.368421052631579,0.5643968871595331,0.5098901098901099,0.43478260869565216,Low,0,0,1
15.0,6,250.0,100.0,3336,17.0,74,chevrolet nova,15.666666666666666,0.6490272373540856,0.5494505494505495,0.43478260869565216,Low,0,0,1
31.0,4,79.0,67.0,1950,19.0,74,datsun b210,7.580645161290323,0.37937743190661477,0.17362637362637362,0.29130434782608694,Low,0,1,0
26.0,4,122.0,80.0,2451,16.5,74,ford pinto,9.038461538461538,0.4768482490272374,0.2681318681318681,0.34782608695652173,Low,0,0,1
32.0,4,71.0,65.0,1836,21.0,74,toyota corolla 1200,7.34375,0.35719844357976654,0.15604395604395604,0.2826086956521739,Low,0,1,0
25.0,4,140.0,75.0,2542,17.0,74,chevrolet vega,9.4,0.4945525291828794,0.3076923076923077,0.32608695652173914,Low,0,0,1
16.0,6,250.0,100.0,3781,17.0,74,chevrolet chevelle malibu classic,14.6875,0.735603112840467,0.5494505494505495,0.43478260869565216,Low,0,0,1
16.0,6,258.0,110.0,3632,18.0,74,amc matador,14.6875,0.7066147859922179,0.567032967032967,0.4782608695652174,Medium,0,0,1
18.0,6,225.0,105.0,3613,16.5,74,plymouth satellite sebring,13.055555555555555,0.7029182879377431,0.4945054945054945,0.45652173913043476,Low,0,0,1
16.0,8,302.0,140.0,4141,14.0,74,ford gran torino,14.6875,0.8056420233463035,0.6637362637362637,0.6086956521739131,Medium,0,0,1
13.0,8,350.0,150.0,4699,14.5,74,buick century luxus (sw),18.076923076923077,0.9142023346303502,0.7692307692307693,0.6521739130434783,Medium,0,0,1
14.0,8,318.0,150.0,4457,13.5,74,dodge coronet custom (sw),16.785714285714285,0.8671206225680934,0.6989010989010989,0.6521739130434783,Medium,0,0,1
14.0,8,302.0,140.0,4638,16.0,74,ford gran torino (sw),16.785714285714285,0.9023346303501946,0.6637362637362637,0.6086956521739131,Medium,0,0,1
14.0,8,304.0,150.0,4257,15.5,74,amc matador (sw),16.785714285714285,0.8282101167315176,0.6681318681318681,0.6521739130434783,Medium,0,0,1
29.0,4,98.0,83.0,2219,16.5,74,audi fox,8.10344827586207,0.43171206225680936,0.2153846153846154,0.36086956521739133,Low,1,0,0
26.0,4,79.0,67.0,1963,15.5,74,volkswagen dasher,9.038461538461538,0.3819066147859922,0.17362637362637362,0.29130434782608694,Low,1,0,0
26.0,4,97.0,78.0,2300,14.5,74,opel manta,9.038461538461538,0.4474708171206226,0.21318681318681318,0.3391304347826087,Low,1,0,0
31.0,4,76.0,52.0,1649,16.5,74,toyota corona,7.580645161290323,0.3208171206225681,0.16703296703296702,0.22608695652173913,Low,0,1,0
32.0,4,83.0,61.0,2003,19.0,74,datsun 710,7.34375,0.3896887159533074,0.1824175824175824,0.26521739130434785,Low,0,1,0
28.0,4,90.0,75.0,2125,14.5,74,dodge colt,8.392857142857142,0.41342412451361865,0.1978021978021978,0.32608695652173914,Low,0,0,1
24.0,4,90.0,75.0,2108,15.5,74,fiat 128,9.791666666666666,0.4101167315175097,0.1978021978021978,0.32608695652173914,Low,1,0,0
26.0,4,116.0,75.0,2246,14.0,74,fiat 124 tc,9.038461538461538,0.4369649805447471,0.2549450549450549,0.32608695652173914,Low,1,0,0
24.0,4,120.0,97.0,2489,15.0,74,honda civic,9.791666666666666,0.48424124513618677,0.26373626373626374,0.4217391304347826,Low,0,1,0
26.0,4,108.0,93.0,2391,15.5,74,subaru,9.038461538461538,0.4651750972762646,0.23736263736263735,0.4043478260869565,Low,0,1,0
31.0,4,79.0,67.0,2000,16.0,74,fiat x1.9,7.580645161290323,0.38910505836575876,0.17362637362637362,0.29130434782608694,Low,1,0,0
19.0,6,225.0,95.0,3264,16.0,75,plymouth valiant custom,12.368421052631579,0.6350194552529183,0.4945054945054945,0.41304347826086957,Low,0,0,1
18.0,6,250.0,105.0,3459,16.0,75,chevrolet nova,13.055555555555555,0.6729571984435798,0.5494505494505495,0.45652173913043476,Low,0,0,1
15.0,6,250.0,72.0,3432,21.0,75,mercury monarch,15.666666666666666,0.667704280155642,0.5494505494505495,0.3130434782608696,Low,0,0,1
15.0,6,250.0,72.0,3158,19.5,75,ford maverick,15.666666666666666,0.6143968871595331,0.5494505494505495,0.3130434782608696,Low,0,0,1
16.0,8,400.0,170.0,4668,11.5,75,pontiac catalina,14.6875,0.9081712062256809,0.8791208791208791,0.7391304347826086,High,0,0,1
15.0,8,350.0,145.0,4440,14.0,75,chevrolet bel air,15.666666666666666,0.8638132295719845,0.7692307692307693,0.6304347826086957,Medium,0,0,1
16.0,8,318.0,150.0,4498,14.5,75,plymouth grand fury,14.6875,0.8750972762645914,0.6989010989010989,0.6521739130434783,Medium,0,0,1
14.0,8,351.0,148.0,4657,13.5,75,ford ltd,16.785714285714285,0.9060311284046693,0.7714285714285715,0.6434782608695652,Medium,0,0,1
17.0,6,231.0,110.0,3907,21.0,75,buick century,13.823529411764707,0.7601167315175097,0.5076923076923077,0.4782608695652174,Medium,0,0,1
16.0,6,250.0,105.0,3897,18.5,75,chevroelt chevelle malibu,14.6875,0.7581712062256809,0.5494505494505495,0.45652173913043476,Low,0,0,1
15.0,6,258.0,110.0,3730,19.0,75,amc matador,15.666666666666666,0.72568093385214,0.567032967032967,0.4782608695652174,Medium,0,0,1
18.0,6,225.0,95.0,3785,19.0,75,plymouth fury,13.055555555555555,0.7363813229571985,0.4945054945054945,0.41304347826086957,Low,0,0,1
21.0,6,231.0,110.0,3039,15.0,75,buick skyhawk,11.19047619047619,0.5912451361867704,0.5076923076923077,0.4782608695652174,Medium,0,0,1
20.0,8,262.0,110.0,3221,13.5,75,chevrolet monza 2+2,11.75,0.6266536964980545,0.5758241758241758,0.4782608695652174,Medium,0,0,1
13.0,8,302.0,129.0,3169,12.0,75,ford mustang ii,18.076923076923077,0.6165369649805448,0.6637362637362637,0.5608695652173913,Medium,0,0,1
29.0,4,97.0,75.0,2171,16.0,75,toyota corolla,8.10344827586207,0.4223735408560311,0.21318681318681318,0.32608695652173914,Low,0,1,0
23.0,4,140.0,83.0,2639,17.0,75,ford pinto,10.217391304347826,0.5134241245136186,0.3076923076923077,0.36086956521739133,Low,0,0,1
20.0,6,232.0,100.0,2914,16.0,75,amc gremlin,11.75,0.5669260700389105,0.5098901098901099,0.43478260869565216,Low,0,0,1
23.0,4,140.0,78.0,2592,18.5,75,pontiac astro,10.217391304347826,0.5042801556420233,0.3076923076923077,0.3391304347826087,Low,0,0,1
24.0,4,134.0,96.0,2702,13.5,75,toyota corona,9.791666666666666,0.5256809338521401,0.2945054945054945,0.41739130434782606,Low,0,1,0
25.0,4,90.0,71.0,2223,16.5,75,volkswagen dasher,9.4,0.4324902723735409,0.1978021978021978,0.30869565217391304,Low,1,0,0
24.0,4,119.0,97.0,2545,17.0,75,datsun 710,9.791666666666666,0.49513618677042803,0.26153846153846155,0.4217391304347826,Low,0,1,0
18.0,6,171.0,97.0,2984,14.5,75,ford pinto,13.055555555555555,0.5805447470817121,0.3758241758241758,0.4217391304347826,Low,0,0,1
29.0,4,90.0,70.0,1937,14.0,75,volkswagen rabbit,8.10344827586207,0.37684824902723735,0.1978021978021978,0.30434782608695654,Low,1,0,0
19.0,6,232.0,90.0,3211,17.0,75,amc pacer,12.368421052631579,0.6247081712062257,0.5098901098901099,0.391304347826087,Low,0,0,1
23.0,4,115.0,95.0,2694,15.0,75,audi 100ls,10.217391304347826,0.5241245136186771,0.25274725274725274,0.41304347826086957,Low,1,0,0
23.0,4,120.0,88.0,2957,17.0,75,peugeot 504,10.217391304347826,0.5752918287937743,0.26373626373626374,0.3826086956521739,Low,1,0,0
22.0,4,121.0,98.0,2945,14.5,75,volvo 244dl,10.681818181818182,0.5729571984435797,0.26593406593406593,0.4260869565217391,Low,1,0,0
25.0,4,121.0,115.0,2671,13.5,75,saab 99le,9.4,0.5196498054474709,0.26593406593406593,0.5,Medium,1,0,0
33.0,4,91.0,53.0,1795,17.5,75,honda civic cvcc,7.121212121212121,0.34922178988326846,0.2,0.23043478260869565,Low,0,1,0
28.0,4,107.0,86.0,2464,15.5,76,fiat 131,8.392857142857142,0.4793774319066148,0.23516483516483516,0.3739130434782609,Low,1,0,0
25.0,4,116.0,81.0,2220,16.9,76,opel 1900,9.4,0.43190661478599224,0.2549450549450549,0.3521739130434783,Low,1,0,0
25.0,4,140.0,92.0,2572,14.9,76,capri ii,9.4,0.5003891050583658,0.3076923076923077,0.4,Low,0,0,1
26.0,4,98.0,79.0,2255,17.7,76,dodge colt,9.038461538461538,0.438715953307393,0.2153846153846154,0.34347826086956523,Low,0,0,1
